session_id,stored_total_questions,real_total_answers,stored_total_correct,real_total_correct
d7000001-0000-0000-0000-000000000002,27,27,23,24
d7000001-0000-0000-0000-000000000003,27,27,22,23
d7000001-0000-0000-0000-000000000004,27,27,23,24
d7000002-0000-0000-0000-000000000001,27,27,20,19
d7000002-0000-0000-0000-000000000002,27,27,21,22
d7000004-0000-0000-0000-000000000001,27,27,19,18
d7000005-0000-0000-0000-000000000001,27,27,18,17
d7000005-0000-0000-0000-000000000003,27,27,18,19
d7000006-0000-0000-0000-000000000002,27,27,21,22
d7000006-0000-0000-0000-000000000004,27,27,21,22
d7000009-0000-0000-0000-000000000001,27,27,16,15
d7000009-0000-0000-0000-000000000002,27,27,16,15
